Nom,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Photo,Adresse,Latitude,Longitude,Id,Vérifié
Chez Jeannette,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,9:00-2:00,Chez-Jeannette32.jpg (https://dl.airtable.com/jcKHGWN0QSGfwQnij1sC_Chez-Jeannette32.jpg),"47, rue du Faubourg Saint-Denis, 75010 Paris",48.8716675,2.3513403,1,checked
Le Comptoir Général,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,16:00-2:00,14:00-2:00,14:00-2:00,Comptoir-général.jpg (https://dl.airtable.com/opRfVMaVRG2KVadaq2aY_Comptoir-g%C3%A9n%C3%A9ral.jpg),"80, quai de Jemmapes, 75010 Paris",48.8720829,2.3630873,2,checked
Bizz’Art,,,20:00-5:00,19:00-5:00,20:00-5:00,20:00-5:00,16:00-21:00,rideauxsalle-bizzart-photo-olivier-bangoura-web.jpeg (https://dl.airtable.com/J72PafCaThqwf8aXK4nD_rideauxsalle-bizzart-photo-olivier-bangoura-web.jpeg),"167, Quai de Valmy - Canal St Martin, 75010 Paris",48.8790816,2.3642437,3,checked
Au Dixième,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,au-dixieme.jpg (https://dl.airtable.com/5TIk7y38RIej2mlb97cq_au-dixieme.jpg),"22, Rue de Mazagran, 75010 Paris",48.8710917,2.3501729,4,checked
Au fût et à mesure,17:00-0:00,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,,aufutetamesure.jpg (https://dl.airtable.com/5klkaStgRGqW0W3ffa3Q_aufutetamesure.jpg),"2, rue d’Hauteville, 75010 Paris",48.8707143,2.3477146,5,checked
Le Cinquante,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,lecinquante.png (https://dl.airtable.com/fLMqjauDRmyqWJFE017W_lecinquante.png),"50, rue de Lancry, 75010 Paris",48.8719035,2.3604903,6,checked
UFO,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,UFO_comptoir.jpg (https://dl.airtable.com/Wh98yRtSCa0LlQV9GUMn_UFO_comptoir.jpg),"49 Rue Jean-Pierre Timbaud, 75011 Paris",48.8719208,2.3539242,7,checked
La MaiZon,,18:00-2:00,18:00-2:00,18:00-2:00,18:00-5:00,18:00-5:00,,lamaizon.png (https://dl.airtable.com/0nN7Cgn0QkKKk8zIHMeh_lamaizon.png),"123 Rue Oberkampf, 75011 Paris",48.8661295,2.3768913,8,checked
L'Escargot,,16:00-2:00,16:00-2:00,16:00-2:00,16:00-2:00,16:00-2:00,,lescargot.jpg (https://dl.airtable.com/9rnbRobqT9mMWLg7nieB_lescargot.jpg),"50 Rue de la Villette, 75019 Paris",48.8770137,2.3858283,9,checked
Aux Folies,7:00-2:00,7:00-2:00,7:00-2:00,7:00-2:00,7:00-2:00,7:00-2:00,7:00-2:00,auxfolies.jpg (https://dl.airtable.com/UCse9vkQLiETImOFwzlH_auxfolies.jpg),"8 Rue de Belleville, 75020 Paris",48.8722863,2.3758575,10,checked
Chez Pierrot,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,,Chez-Pierrot-2ok.jpg (https://dl.airtable.com/WX68rVgqTevAHiYTvznQ_Chez-Pierrot-2ok.jpg),"33 Rue de Lappe, 75011 Paris",48.8723167,2.3605366,11,checked
Le Zorba,5:00-2:00,5:00-2:00,5:00-2:00,5:00-2:00,5:00-2:00,7:00-2:00,7:00-2:00,Le-Zorba-paris.jpg (https://dl.airtable.com/tAIx6Z6WSnGQ8lv54utI_Le-Zorba-paris.jpg),"137 rue du Faubourg du Temple, 75010 Paris",48.871952,2.3742457,12,checked
Les Triplettes,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,triplettes.jpg (https://dl.airtable.com/6xv5MA1PQzS1AaPNf3FP_triplettes.jpg),"102 Boulevard de Belleville, 75020 Paris",48.8705828,2.3767883,13,checked
Le Mecano,9:00-2:00,9:00-2:00,9:00-2:00,9:00-2:00,9:00-5:00,9:00-5:00,10:00-2:00,le-mecano.jpg (https://dl.airtable.com/ywbHDavSLCqojRxZTjg5_le-mecano.jpg),"99 Rue Oberkampf, 75011 Paris",48.8656882,2.3741156,14,checked
L'autobus,9:00-2:00,9:00-2:00,9:00-2:00,9:00-2:00,9:00-2:00,9:00-2:00,,lautobus.png (https://dl.airtable.com/poh3puJRNa0USrWZ8gAG_lautobus.png),"1 Rue Oberkampf, 75011 Paris",48.86277,2.3652121,15,checked
Espit Chupitos,,,,21:00-2:00,20:00-2:00,20:00-2:00,,choupitos.jpg (https://dl.airtable.com/Yfc95ZVYQmuPIBbqaAaY_choupitos.jpg),"117 Rue Saint-Maur, 75011 Paris",48.8659083,2.376339,16,checked
Le Ciré Jaune,,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,,cir%c3%a9jaune.jpg (https://dl.airtable.com/XE561R6qTea63jPwTk8q_cir%25c3%25a9jaune.jpg),"112 Rue Saint-Maur, 75011 Paris",48.8669285,2.3741529,17,checked
Rosa Bonheur,,,12:00-0:00,12:00-0:00,12:00-0:00,10:00-0:00,10:00-0:00,rosabonheur.jpg (https://dl.airtable.com/BBHYvh2sQUSDnK3MpL67_rosabonheur.jpg),"Parc des Buttes Chaumont, 2 Avenue de la Cascade, 75019 Paris",48.8799395,2.3840523,18,checked
Le Café des Antiquaires,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,18:00-02:00,,Le-Cafe-des-Antiquaires.jpg (https://dl.airtable.com/2wJ8cxagQ2KeAoktB2jM_Le-Cafe-des-Antiquaires.jpg),"15 Rue de la Grange Batelière, 75009 Paris",48.8730513,2.3394161,19,checked
La Rotonde,10:00-2:00,10:00-2:00,10:00-2:00,10:00-2:00,10:00-6:00,10:00-6:00,12:00-22:00,la-rotonde.jpg (https://dl.airtable.com/a0Y2i1b5Q9SIx81s5v2c_la-rotonde.jpg),"6-8 Place de la Bataille de Stalingrad, 75019 Paris",48.8834168,2.3671543,20,checked
Le Dernier Bar avant la Fin du Monde,15:00-02:00,15:00-02:00,15:00-02:00,15:00-02:00,15:00-02:00,11:30-2:00,11:30-2:00,dernierbar.png (https://dl.airtable.com/U0GJDDfZTaKPn4ej0AdU_dernierbar.png),"19 Avenue Victoria, 75001 Paris",48.8579535,2.3441693,21,checked
Meltdown,18:00-1:00,18:00-1:00,18:00-1:00,18:00-1:00,18:00-2:00,18:00-2:00,15:00-21:00,destiny-meltdown-119.jpg (https://dl.airtable.com/ni4dRQtSCZz7VAlUWb0Q_destiny-meltdown-119.jpg),"6 Passage Thiéré, 75011 Paris",48.8535644,2.3725791,22,checked
